流水号,日期,部门,申请人姓名,费用类别,金额,审批状态
E2026010041,2026-01-28,市场部,冯雪,差旅费,1980,审核中
E2026010042,2026-02-04,市场部,蒋鑫,办公费,560,已通过
E2026010043,2026-02-11,市场部,孙丽华,招待费,4520,已通过
E2026010044,2026-02-18,市场部,吴婷,差旅费,2260,已通过
E2026010045,2026-02-23,市场部,周明,培训费,2400,已通过
E2026010046,2026-02-27,市场部,郑浩,差旅费,3120,已通过
E2026010047,2026-03-05,市场部,冯雪,办公费,840,已通过
E2026010048,2026-03-12,市场部,蒋鑫,差旅费,1780,已通过
E2026010049,2026-03-19,市场部,孙丽华,差旅费,2950,已驳回
E2026010050,2026-03-26,市场部,吴婷,招待费,2650,已通过
E2026010051,2026-03-30,市场部,周明,办公费,690,已通过
E2026010052,2026-04-09,市场部,郑浩,差旅费,2080,已通过
E2026010053,2026-04-15,市场部,冯雪,设备费,5800,审核中
E2026010054,2026-04-22,市场部,蒋鑫,差旅费,2450,已通过
E2026010055,2026-04-28,市场部,孙丽华,办公费,980,已通过
E2026010056,2026-04-30,市场部,吴婷,培训费,3200,已通过
E2026010057,2026-05-08,市场部,周明,差旅费,2840,已通过
E2026010058,2026-05-14,市场部,郑浩,招待费,1960,已通过
E2026010059,2026-05-21,市场部,冯雪,差旅费,1630,已通过
E2026010060,2026-05-28,市场部,蒋鑫,办公费,520,已驳回
E2026010061,2026-06-05,市场部,孙丽华,差旅费,3480,已通过
E2026010062,2026-06-12,市场部,吴婷,招待费,2720,已通过
E2026010063,2026-06-19,市场部,周明,办公费,810,已通过
E2026010064,2026-06-26,市场部,郑浩,差旅费,2340,审核中
E2026010065,2026-07-03,市场部,冯雪,培训费,3060,已通过
E2026010066,2026-07-10,市场部,蒋鑫,培训费,2800,已通过
E2026010067,2026-07-17,市场部,孙丽华,办公费,1150,已通过
E2026010068,2026-07-29,市场部,吴婷,招待费,2680,已通过
E2026010069,2026-08-06,市场部,周明,差旅费,3560,已通过
E2026010070,2026-08-13,市场部,郑浩,招待费,2080,审核中
E2026010071,2026-08-21,市场部,冯雪,设备费,7400,已驳回
E2026010072,2026-08-28,市场部,蒋鑫,办公费,650,已通过
E2026010073,2026-01-08,研发部,杨光,差旅费,2480,已通过
E2026010074,2026-01-13,研发部,何俊杰,办公费,1350,已通过
E2026010075,2026-01-20,研发部,朱琳,培训费,4200,已通过
E2026010076,2026-01-26,研发部,罗丹,差旅费,1860,已通过
E2026010077,2026-01-30,研发部,高翔,办公费,920,已通过
E2026010078,2026-02-06,研发部,林峰,差旅费,2240,审核中
E2026010079,2026-02-12,研发部,杨光,招待费,1820,已通过
E2026010080,2026-02-19,研发部,何俊杰,设备费,7800,已通过
E2026010081,2026-02-25,研发部,朱琳,差旅费,1960,已通过
E2026010082,2026-02-27,研发部,罗丹,办公费,680,已通过
E2026010083,2026-03-06,研发部,高翔,差旅费,2720,已通过
E2026010084,2026-03-13,研发部,林峰,培训费,3600,已通过
E2026010085,2026-03-20,研发部,杨光,差旅费,3180,已通过
E2026010086,2026-03-25,研发部,何俊杰,办公费,1120,已通过
E2026010087,2026-03-31,研发部,朱琳,招待费,1580,已通过
E2026010088,2026-04-10,研发部,罗丹,差旅费,2120,已通过
E2026010089,2026-04-16,研发部,高翔,办公费,760,已通过
E2026010090,2026-04-23,研发部,林峰,差旅费,2890,审核中
E2026010091,2026-04-29,研发部,杨光,招待费,2260,已通过
E2026010092,2026-04-30,研发部,何俊杰,差旅费,1650,已通过
E2026010093,2026-05-11,研发部,朱琳,办公费,880,已通过
E2026010094,2026-05-19,研发部,罗丹,差旅费,2470,已通过
E2026010095,2026-05-26,研发部,高翔,培训费,5200,已驳回
E2026010096,2026-05-29,研发部,林峰,办公费,640,已通过
E2026010097,2026-06-08,研发部,杨光,差旅费,3340,已通过
E2026010098,2026-06-17,研发部,何俊杰,招待费,1960,已通过
E2026010099,2026-06-24,研发部,朱琳,差旅费,2280,已通过
E2026010100,2026-06-30,研发部,罗丹,办公费,1040,已通过
E2026010101,2026-07-06,研发部,高翔,差旅费,1760,已驳回
E2026010102,2026-07-15,研发部,林峰,设备费,6600,已驳回
E2026010103,2026-07-22,研发部,杨光,办公费,1280,已通过
E2026010104,2026-07-31,研发部,何俊杰,差旅费,2630,审核中
E2026010105,2026-08-07,研发部,朱琳,招待费,3020,已通过
E2026010106,2026-08-14,研发部,罗丹,招待费,2380,审核中
E2026010107,2026-08-25,研发部,高翔,培训费,4800,已通过
E2026010108,2026-08-31,研发部,林峰,招待费,1560,已通过
E2026010109,2026-01-09,人事部,徐芳,培训费,2600,已通过
E2026010110,2026-01-15,人事部,胡军,办公费,480,已通过
E2026010111,2026-01-21,人事部,郭颖,差旅费,920,已通过
E2026010112,2026-01-27,人事部,梁艳,办公费,360,已通过
E2026010113,2026-01-29,人事部,宋涛,差旅费,1150,已通过
E2026010114,2026-02-05,人事部,徐芳,招待费,1560,已通过
E2026010115,2026-02-11,人事部,胡军,差旅费,880,已通过
E2026010116,2026-02-17,人事部,郭颖,培训费,3200,审核中
E2026010117,2026-02-24,人事部,梁艳,办公费,520,已通过
E2026010118,2026-02-26,人事部,宋涛,差旅费,1080,已通过
E2026010119,2026-03-06,人事部,徐芳,差旅费,1320,已通过
E2026010120,2026-03-12,人事部,胡军,办公费,440,已通过
E2026010121,2026-03-18,人事部,郭颖,培训费,2800,已通过
E2026010122,2026-03-24,人事部,梁艳,差旅费,960,已通过
E2026010123,2026-03-27,人事部,宋涛,招待费,1240,已通过
E2026010124,2026-04-07,人事部,徐芳,差旅费,1480,已通过
E2026010125,2026-04-13,人事部,胡军,办公费,580,已通过
E2026010126,2026-04-20,人事部,郭颖,差旅费,1020,审核中
E2026010127,2026-04-24,人事部,梁艳,设备费,3600,已驳回
E2026010128,2026-04-28,人事部,宋涛,培训费,2400,已通过
E2026010129,2026-05-06,人事部,徐芳,招待费,1880,已通过
E2026010130,2026-05-12,人事部,胡军,差旅费,760,已通过
E2026010131,2026-05-19,人事部,郭颖,办公费,620,已通过
E2026010132,2026-05-22,人事部,梁艳,差旅费,880,已驳回
E2026010133,2026-05-29,人事部,宋涛,差旅费,1340,已驳回
E2026010134,2026-06-05,人事部,徐芳,办公费,720,已通过
E2026010135,2026-06-12,人事部,胡军,招待费,3600,已通过
E2026010136,2026-06-19,人事部,郭颖,差旅费,1180,已通过
E2026010137,2026-06-26,人事部,梁艳,招待费,980,已通过
E2026010138,2026-07-03,人事部,宋涛,差旅费,1560,审核中
E2026010139,2026-07-10,人事部,徐芳,差旅费,1720,已通过
E2026010140,2026-07-17,人事部,胡军,办公费,640,已通过
E2026010141,2026-07-24,人事部,郭颖,招待费,1460,已通过
E2026010142,2026-08-07,人事部,宋涛,设备费,4200,审核中
E2026010143,2026-08-14,人事部,徐芳,办公费,860,已通过
E2026010144,2026-08-28,人事部,郭颖,招待费,1050,已通过
E2026010145,2026-01-08,财务部,马丽,差旅费,1760,已通过
E2026010146,2026-01-13,财务部,唐敏,办公费,780,已通过
E2026010147,2026-01-19,财务部,韩磊,培训费,2200,已通过
E2026010148,2026-01-22,财务部,曹阳,差旅费,1280,已通过
E2026010149,2026-01-28,财务部,袁媛,办公费,540,已通过
E2026010150,2026-02-04,财务部,邓超,差旅费,1620,已通过
E2026010151,2026-02-10,财务部,马丽,招待费,2180,已通过
E2026010152,2026-02-17,财务部,唐敏,差旅费,1440,审核中
E2026010153,2026-02-24,财务部,韩磊,办公费,860,已通过
E2026010154,2026-02-26,财务部,曹阳,差旅费,1980,已通过
E2026010155,2026-03-05,财务部,袁媛,差旅费,2340,已通过
E2026010156,2026-03-11,财务部,邓超,办公费,620,已通过
E2026010157,2026-03-17,财务部,马丽,差旅费,2850,已通过
E2026010158,2026-03-24,财务部,唐敏,培训费,3200,已通过
E2026010159,2026-03-30,财务部,韩磊,招待费,1650,已通过
E2026010160,2026-04-07,财务部,曹阳,差旅费,1720,已通过
E2026010161,2026-04-14,财务部,袁媛,办公费,480,已通过
E2026010162,2026-04-21,财务部,邓超,差旅费,2460,已通过
E2026010163,2026-04-27,财务部,马丽,设备费,5600,审核中
E2026010164,2026-04-30,财务部,唐敏,办公费,920,已通过
E2026010165,2026-05-07,财务部,韩磊,差旅费,1890,已通过
E2026010166,2026-05-13,财务部,曹阳,招待费,1420,已通过
E2026010167,2026-05-20,财务部,袁媛,差旅费,2140,已通过
E2026010168,2026-05-27,财务部,邓超,办公费,560,已通过
E2026010169,2026-06-04,财务部,马丽,差旅费,2680,已通过
E2026010170,2026-06-11,财务部,唐敏,培训费,3800,已通过
E2026010171,2026-06-18,财务部,韩磊,差旅费,2050,已驳回
E2026010172,2026-06-25,财务部,曹阳,办公费,740,已通过
E2026010173,2026-07-02,财务部,袁媛,招待费,1580,已通过
E2026010174,2026-07-09,财务部,邓超,招待费,2350,已驳回
E2026010175,2026-07-16,财务部,马丽,招待费,3260,已通过
E2026010176,2026-07-24,财务部,唐敏,办公费,1010,审核中
E2026010177,2026-07-31,财务部,韩磊,招待费,1870,审核中
E2026010178,2026-08-06,财务部,曹阳,设备费,6300,已驳回
E2026010179,2026-08-13,财务部,袁媛,差旅费,2430,已通过
E2026010180,2026-08-26,财务部,邓超,培训费,1800,已通过
